geoid,address/postal1,population,Error
86000US45459,45459,26846,777
86000US45502,45502,15464,717
86000US45503,45503,32447,863
86000US45504,45504,17795,721
86000US45505,45505,20000,797
86000US45506,45506,13669,585
86000US45601,45601,56610,807
86000US45612,45612,5265,753
86000US45613,45613,3376,669
86000US45614,45614,4983,376
86000US45616,45616,1599,369
86000US45617,45617,122,177
86000US45618,45618,15,16
86000US45619,45619,7608,637
86000US45620,45620,1158,297
86000US45621,45621,299,109
86000US45622,45622,135,80
86000US45623,45623,3343,399
86000US45624,45624,0,11
86000US45628,45628,5056,330
86000US45629,45629,2819,306
86000US45630,45630,79,45
86000US45631,45631,14556,562
86000US45634,45634,1968,313
86000US45636,45636,142,173
86000US45638,45638,21950,625
86000US45640,45640,16093,695
86000US45642,45642,0,11
86000US45644,45644,4818,468
86000US45645,45645,2787,604
86000US45646,45646,205,146
86000US45647,45647,2240,344
86000US45648,45648,12686,790
86000US45650,45650,309,122
86000US45651,45651,6120,415
86000US45652,45652,4421,492
86000US45653,45653,3909,403
86000US45654,45654,1021,321
86000US45656,45656,6629,534
86000US45657,45657,1936,350
86000US45658,45658,2802,416
86000US45659,45659,2428,357
86000US45660,45660,7699,620
86000US45661,45661,7618,772
86000US45662,45662,29912,549
86000US45663,45663,6100,201
86000US45669,45669,9856,462
86000US45671,45671,312,129
86000US45672,45672,1530,325
86000US45673,45673,412,253
86000US45674,45674,763,172
86000US45678,45678,1262,539
86000US45679,45679,2296,368
86000US45680,45680,12986,680
86000US45681,45681,1601,353
86000US45682,45682,2178,255
86000US45684,45684,2200,446
86000US45685,45685,916,272
86000US45686,45686,3703,565
86000US45688,45688,598,188
86000US45690,45690,14369,850
86000US45692,45692,8647,517
86000US45693,45693,8598,624
86000US45694,45694,11957,618
86000US45695,45695,514,195
86000US45696,45696,1495,360
86000US45697,45697,5034,563
86000US45698,45698,332,107
86000US45701,45701,35432,727
86000US45710,45710,5483,441
86000US45711,45711,1337,403
86000US45714,45714,9323,359
86000US45715,45715,2471,466
86000US45716,45716,495,142
86000US45719,45719,1147,246
86000US45721,45721,28,42
86000US45723,45723,3585,320
86000US45724,45724,1844,491
86000US45727,45727,470,190
86000US45729,45729,1570,369
86000US45732,45732,4523,297
86000US45734,45734,620,204
86000US45735,45735,1608,301
86000US45740,45740,343,86
86000US45741,45741,730,214
86000US45742,45742,2796,398
86000US45743,45743,1748,360
86000US45744,45744,2747,475
86000US45745,45745,1461,418
86000US45746,45746,486,151
86000US45750,45750,27183,478
86000US45760,45760,3705,388
86000US45761,45761,1775,324
86000US45764,45764,9399,411
86000US45766,45766,951,257
86000US45767,45767,2391,493
86000US45768,45768,1550,401
86000US45769,45769,6773,577
86000US45770,45770,474,148
86000US45771,45771,3741,327
86000US45772,45772,1681,332
86000US45773,45773,113,102
86000US45775,45775,1012,300
86000US45776,45776,769,274
86000US45778,45778,860,270
86000US45779,45779,689,128
86000US45780,45780,3102,497
86000US45782,45782,492,126
86000US45784,45784,3733,558
86000US45786,45786,3555,303
86000US45787,45787,63,38
86000US45788,45788,1189,324
86000US45789,45789,127,135
86000US45801,45801,23186,859
86000US45804,45804,15294,810
86000US45805,45805,23932,887
86000US45806,45806,10922,561
86000US45807,45807,11821,629
86000US45808,45808,392,99
86000US45809,45809,124,73
86000US45810,45810,8231,234
86000US45812,45812,1789,352
86000US45813,45813,3640,218
86000US45814,45814,3158,329
86000US45816,45816,342,84
86000US45817,45817,7020,440
86000US45819,45819,261,72
86000US45820,45820,530,158
86000US45821,45821,1380,214
86000US45822,45822,19193,514
86000US45826,45826,505,150
86000US45827,45827,2040,274
86000US45828,45828,6120,356
86000US45830,45830,5773,466
86000US45831,45831,3330,388
86000US45832,45832,2919,316
86000US45833,45833,10750,399
86000US45835,45835,563,129
86000US45836,45836,1260,148
86000US45838,45838,57,58
86000US45840,45840,55246,427
86000US45841,45841,874,204
86000US45843,45843,4098,496
86000US45844,45844,3166,211
86000US45845,45845,3008,255
86000US45846,45846,4181,254
86000US45849,45849,1101,194
86000US45850,45850,3516,307
86000US45851,45851,667,175
86000US45853,45853,1205,166
86000US45854,45854,433,111
86000US45855,45855,151,45
86000US45856,45856,5242,294
86000US45858,45858,3122,368
86000US45859,45859,551,127
86000US45860,45860,2102,226
86000US45861,45861,175,65
86000US45862,45862,1517,225
86000US45863,45863,1130,212
86000US45864,45864,150,43
86000US45865,45865,4884,212
86000US45866,45866,147,51
86000US45867,45867,995,279
86000US45868,45868,706,188
86000US45869,45869,4563,217
86000US45870,45870,185,110
86000US45871,45871,1987,201
86000US45872,45872,4125,208
86000US45873,45873,2384,311
86000US45874,45874,2497,369
86000US45875,45875,11455,424
86000US45876,45876,784,163
86000US45877,45877,2091,230
86000US45879,45879,6024,445
86000US45880,45880,2536,211
86000US45881,45881,1172,260
86000US45882,45882,2735,289
86000US45883,45883,3943,113
86000US45884,45884,173,170
86000US45885,45885,12590,366
86000US45886,45886,566,158
86000US45887,45887,4264,387
86000US45888,45888,173,59
86000US45889,45889,1616,357
86000US45890,45890,509,84
86000US45891,45891,14836,276
86000US45894,45894,603,150
86000US45895,45895,18012,418
86000US45896,45896,2111,322
86000US45897,45897,35,37
86000US45898,45898,1148,228
86000US45899,45899,136,60
