geoid,name,B19058001,"B19058001, Error",B19058002,"B19058002, Error",B19058003,"B19058003, Error"
86000US43778,43778,413,77,59,33,354,77
86000US43779,43779,409,105,86,63,323,88
86000US43780,43780,790,149,52,25,738,152
86000US43782,43782,262,68,90,31,172,64
86000US43783,43783,1863,212,354,123,1509,188
86000US43786,43786,18,9,2,4,16,9
86000US43787,43787,1163,123,208,62,955,119
86000US43788,43788,269,69,29,20,240,71
86000US43793,43793,2304,199,416,107,1888,201
86000US43802,43802,383,56,69,46,314,53
86000US43804,43804,936,124,14,14,922,119
86000US43805,43805,55,59,44,58,11,17
86000US43811,43811,336,63,44,23,292,59
86000US43812,43812,7705,253,1739,237,5966,276
86000US43821,43821,1523,155,233,84,1290,133
86000US43822,43822,1758,188,292,85,1466,192
86000US43824,43824,1392,97,121,66,1271,96
86000US43830,43830,2360,196,319,138,2041,210
86000US43832,43832,2877,250,483,156,2394,285
86000US43836,43836,58,18,11,14,47,11
86000US43837,43837,668,87,63,32,605,90
86000US43840,43840,484,78,15,11,469,79
86000US43842,43842,142,64,20,20,122,62
86000US43843,43843,579,149,43,38,536,146
86000US43844,43844,1488,139,194,85,1294,140
86000US43845,43845,1877,172,269,68,1608,172
86000US43901,43901,880,93,73,31,807,94
86000US43902,43902,31,27,0,11,31,27
86000US43903,43903,868,120,107,58,761,114
86000US43905,43905,91,68,9,15,82,67
86000US43906,43906,3572,169,698,117,2874,198
86000US43907,43907,2406,175,334,94,2072,163
86000US43908,43908,619,103,112,42,507,97
86000US43910,43910,1228,143,123,61,1105,144
86000US43912,43912,2756,209,511,113,2245,203
86000US43913,43913,721,94,136,68,585,105
86000US43914,43914,39,33,19,29,20,14
86000US43915,43915,545,93,49,28,496,87
86000US43917,43917,1294,153,111,41,1183,151
86000US43920,43920,9257,312,2133,255,7124,360
86000US43925,43925,155,97,40,60,115,88
86000US43926,43926,121,37,28,17,93,32
86000US43927,43927,41,16,0,11,41,16
86000US43928,43928,0,11,0,11,0,11
86000US43930,43930,360,82,62,41,298,79
86000US43931,43931,128,55,12,19,116,56
86000US43932,43932,336,75,61,22,275,71
86000US43933,43933,829,125,52,33,777,125
86000US43934,43934,218,73,7,12,211,74
86000US43935,43935,3685,221,765,140,2920,229
86000US43938,43938,2211,129,400,111,1811,159
86000US43939,43939,209,50,71,38,138,34
86000US43940,43940,104,56,12,19,92,56
86000US43942,43942,1211,134,172,49,1039,127
86000US43943,43943,1251,90,173,54,1078,93
86000US43944,43944,851,159,58,51,793,154
86000US43945,43945,1235,123,223,61,1012,131
86000US43946,43946,826,136,83,38,743,129
86000US43947,43947,2139,149,283,117,1856,187
86000US43948,43948,204,52,44,27,160,46
86000US43950,43950,5371,223,401,117,4970,270
86000US43951,43951,40,18,0,11,40,18
86000US43952,43952,7300,356,2441,276,4859,317
86000US43953,43953,4802,237,484,154,4318,267
86000US43961,43961,170,45,38,22,132,39
86000US43962,43962,32,13,1,2,31,13
86000US43963,43963,569,55,62,21,507,53
86000US43964,43964,3876,197,661,124,3215,223
86000US43967,43967,0,11,0,11,0,11
86000US43968,43968,2659,222,759,154,1900,235
86000US43970,43970,21,22,0,11,21,22
86000US43971,43971,529,68,83,31,446,62
86000US43972,43972,65,41,0,11,65,41
86000US43973,43973,843,101,140,51,703,99
86000US43974,43974,37,15,0,11,37,15
86000US43976,43976,678,81,110,43,568,83
86000US43977,43977,838,109,112,43,726,105
86000US43983,43983,273,109,50,60,223,91
86000US43985,43985,44,17,3,4,41,17
86000US43986,43986,788,106,218,65,570,94
86000US43988,43988,993,129,177,67,816,125
86000US44001,44001,8342,190,552,180,7790,273
86000US44003,44003,1766,188,389,108,1377,179
86000US44004,44004,13520,425,3626,333,9894,426
86000US44010,44010,639,109,173,77,466,102
86000US44011,44011,7866,310,310,170,7556,331
86000US44012,44012,9288,230,322,125,8966,262
86000US44017,44017,7174,251,790,181,6384,284
86000US44021,44021,2223,140,141,60,2082,126
86000US44022,44022,6861,208,126,54,6735,212
86000US44023,44023,6511,214,275,112,6236,238
86000US44024,44024,9171,254,590,134,8581,267
86000US44026,44026,4437,201,161,71,4276,215
86000US44028,44028,3282,158,301,111,2981,165
86000US44030,44030,5947,233,1063,152,4884,252
86000US44032,44032,644,116,176,85,468,115
86000US44035,44035,26968,507,4916,392,22052,524
86000US44039,44039,12417,321,590,149,11827,359
86000US44040,44040,1181,90,9,11,1172,91
86000US44041,44041,6102,258,1199,190,4903,309
86000US44044,44044,4252,327,124,56,4128,305
86000US44045,44045,152,39,9,10,143,39
86000US44046,44046,748,126,68,70,680,108
86000US44047,44047,3256,224,479,143,2777,282
86000US44048,44048,868,132,161,66,707,121
86000US44049,44049,99,21,6,5,93,20
86000US44050,44050,2431,156,74,32,2357,157
86000US44052,44052,11607,342,3800,337,7807,373
86000US44053,44053,7844,253,1223,214,6621,300
86000US44054,44054,4822,186,502,154,4320,264
86000US44055,44055,7501,256,2497,337,5004,354
86000US44056,44056,4563,184,111,64,4452,194
86000US44057,44057,7388,311,710,184,6678,316
86000US44060,44060,25266,389,1631,248,23635,502
86000US44062,44062,4095,213,350,111,3745,228
86000US44064,44064,669,59,26,21,643,62
86000US44065,44065,1735,174,160,96,1575,229
86000US44067,44067,8079,312,243,94,7836,307
86000US44070,44070,13134,288,896,166,12238,370
86000US44072,44072,1822,161,31,36,1791,162
86000US44074,44074,3890,238,387,113,3503,224
86000US44076,44076,1723,165,218,67,1505,170
86000US44077,44077,21828,461,2478,374,19350,472
86000US44080,44080,70,48,0,11,70,48
86000US44081,44081,2604,100,272,80,2332,132
86000US44082,44082,613,140,41,39,572,137
86000US44084,44084,1191,146,85,41,1106,145
86000US44085,44085,1277,205,232,118,1045,185
86000US44086,44086,964,78,57,29,907,83
86000US44087,44087,8315,289,682,179,7633,318
86000US44089,44089,6631,231,673,217,5958,278
86000US44090,44090,4611,261,282,130,4329,280
86000US44092,44092,7631,242,712,150,6919,260
86000US44093,44093,434,83,70,60,364,72
86000US44094,44094,16256,389,1399,206,14857,413
86000US44095,44095,14057,267,1427,236,12630,331
86000US44099,44099,648,103,0,11,648,103
86000US44101,44101,0,11,0,11,0,11
86000US44102,44102,18777,490,7127,413,11650,516
86000US44103,44103,7096,305,3255,287,3841,244
86000US44104,44104,8906,302,5178,279,3728,303
86000US44105,44105,15476,442,6240,372,9236,432
86000US44106,44106,11068,386,2820,297,8248,375
86000US44107,44107,24622,463,3401,290,21221,508
86000US44108,44108,9510,354,3947,354,5563,331
86000US44109,44109,17198,465,6289,398,10909,508
86000US44110,44110,9107,391,3977,440,5130,401
86000US44111,44111,17413,359,3797,342,13616,394
86000US44112,44112,10006,340,3881,333,6125,412
86000US44113,44113,9161,285,2678,218,6483,280
86000US44114,44114,3787,199,1180,247,2607,244
86000US44115,44115,3662,197,1905,181,1757,171
86000US44116,44116,9002,269,407,153,8595,300
86000US44117,44117,4922,281,1354,195,3568,286
86000US44118,44118,15409,378,2315,223,13094,403
86000US44119,44119,5470,342,1042,261,4428,369
86000US44120,44120,16085,501,4499,319,11586,486
86000US44121,44121,13855,340,1971,261,11884,423
86000US44122,44122,13394,345,1066,177,12328,367
86000US44123,44123,8029,286,1611,293,6418,368
86000US44124,44124,17296,367,1044,223,16252,380
86000US44125,44125,11442,314,1938,217,9504,350
86000US44126,44126,7183,173,502,136,6681,217
86000US44127,44127,2006,144,1077,153,929,120
86000US44128,44128,12701,409,3319,358,9382,430
86000US44129,44129,11771,274,1434,196,10337,343
86000US44130,44130,21997,366,2397,298,19600,462
86000US44131,44131,8225,184,192,64,8033,195
86000US44132,44132,6725,210,1615,216,5110,265
86000US44133,44133,12772,334,596,143,12176,365
86000US44134,44134,15842,366,1939,240,13903,427
86000US44135,44135,11806,349,3229,297,8577,411
86000US44136,44136,10473,233,499,141,9974,280
86000US44137,44137,9385,349,2355,306,7030,470
86000US44138,44138,9236,254,264,89,8972,263
86000US44139,44139,8762,224,326,79,8436,231
86000US44140,44140,6062,145,207,85,5855,140
86000US44141,44141,5546,191,66,40,5480,188
86000US44142,44142,7603,190,774,135,6829,226
86000US44143,44143,10775,261,963,200,9812,332
86000US44144,44144,9737,269,1828,254,7909,327
86000US44145,44145,13751,328,556,189,13195,365
86000US44146,44146,13534,371,2031,288,11503,463
86000US44147,44147,7587,307,250,110,7337,301
86000US44149,44149,7417,189,258,100,7159,214
86000US44201,44201,2583,203,232,95,2351,228
86000US44202,44202,7805,259,415,153,7390,281
86000US44203,44203,16515,397,2678,273,13837,487
86000US44212,44212,16927,373,1247,187,15680,380
86000US44214,44214,851,99,133,59,718,87
86000US44215,44215,878,71,83,32,795,70
86000US44216,44216,3464,222,238,121,3226,198
86000US44217,44217,1480,103,186,59,1294,118
86000US44221,44221,13192,374,1330,210,11862,424
86000US44223,44223,7486,286,646,136,6840,312
86000US44224,44224,16269,428,1218,215,15051,438
86000US44230,44230,3444,155,212,105,3232,190
86000US44231,44231,3643,209,320,113,3323,244
86000US44233,44233,2910,135,27,29,2883,138
86000US44234,44234,1294,109,85,42,1209,114
86000US44235,44235,580,88,41,50,539,87
86000US44236,44236,9122,173,257,101,8865,198
86000US44240,44240,15905,533,2136,322,13769,545
86000US44241,44241,7039,363,691,169,6348,389
86000US44243,44243,0,11,0,11,0,11
86000US44250,44250,443,120,110,84,333,115
86000US44251,44251,377,51,2,3,375,52
86000US44253,44253,1075,104,47,30,1028,106
86000US44254,44254,1983,108,378,88,1605,125
86000US44255,44255,3120,208,292,95,2828,211
86000US44256,44256,23713,386,1577,241,22136,470
86000US44260,44260,5098,303,329,135,4769,336
86000US44262,44262,2002,118,118,78,1884,161
86000US44264,44264,1123,92,96,55,1027,91
86000US44265,44265,0,11,0,11,0,11
86000US44266,44266,13392,441,2605,317,10787,440
86000US44270,44270,3285,198,460,117,2825,232
86000US44272,44272,1895,143,154,57,1741,133
86000US44273,44273,2837,196,147,63,2690,196
86000US44274,44274,122,74,31,48,91,77
86000US44275,44275,1260,110,50,25,1210,107
86000US44276,44276,664,72,34,21,630,70
86000US44278,44278,7135,222,806,168,6329,258
86000US44280,44280,1728,146,66,74,1662,150
86000US44281,44281,12347,341,961,226,11386,424
86000US44285,44285,9,9,0,11,9,9
86000US44286,44286,2325,137,102,94,2223,135
86000US44287,44287,2615,234,346,93,2269,207
86000US44288,44288,1404,111,335,73,1069,101
86000US44301,44301,6335,258,1607,226,4728,263
86000US44302,44302,2536,164,785,151,1751,193
86000US44303,44303,3532,184,303,99,3229,192
86000US44304,44304,1437,143,366,80,1071,127
86000US44305,44305,9464,325,2440,286,7024,350
86000US44306,44306,8958,339,3640,324,5318,329
86000US44307,44307,3330,260,1779,221,1551,208
86000US44308,44308,290,64,171,51,119,40
86000US44310,44310,9866,379,3229,389,6637,437
86000US44311,44311,2943,209,1231,148,1712,197
86000US44312,44312,13252,496,1787,280,11465,566
86000US44313,44313,12012,466,1419,300,10593,459
86000US44314,44314,8447,268,2113,248,6334,313
86000US44319,44319,9611,363,613,163,8998,360
